"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-01","4.03",,"0.00","0.0","0.0","57","67","48","  270","  280","15.0","19.0","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-02","5.37",,"0.00","0.0","0.0","60","76","54","  270","  270","15.0","18.1","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-03","4.92",,"0.00","0.0","0.0","62","76","54","  250","  240","16.1","19.0","    1","    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-04","6.26",,"0.00","0.0","0.0","62","74","55","  270","  290","14.1","18.1","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-05","5.82",,"0.00","0.0","0.0","62","69","56","  260","  270","15.0","18.1","    1","    1",,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-06","5.82",,"0.00","0.0","0.0","60","64","57","  260","  300","14.1","18.1","    1","    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-07","5.14",,"0.00","0.0","0.0","62","69","57","  250","  250","12.1","12.1","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-08","5.14",,"0.28","0.0","0.0","63","67","60","   80","   90","15.0","21.9","    1",,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-09","10.96",,"1.12","0.0","0.0","60","63","53","  260","  260","33.1","40.0","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-10","6.04",,"0.00","0.0","0.0","56","64","50","  260","  130","13.0","16.1","    1",,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-11","4.47",,"0.00","0.0","0.0","57","67","50","  270","  270","15.0","19.0","    1",,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-12","3.13",,"0.00","0.0","0.0","58","67","52","  250","  280","10.1","13.0","    1","    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-13","3.36",,"0.00","0.0","0.0","65","86","57","   30","  310","10.1","14.1",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-14","4.70",,"0.00","0.0","0.0","71","83","58","  250","  240","14.1","17.0",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-15","6.04",,"0.00","0.0","0.0","62","64","52","  260","  260","17.0","19.0","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-16","4.03",,"0.00","0.0","0.0","60","68","54","  270","  270","13.0","15.0","    1","    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-17","4.25",,"0.00","0.0","0.0","62","74","54","  260","  280","13.0","15.0","    1",,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-18","4.25",,"0.00","0.0","0.0","63","72","54","  270","  240","13.0","16.1",,,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-19","7.61",,"0.00","0.0","0.0","60","63","54","  270","  270","18.1","21.0","    1","    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-20","13.42",,"0.00","0.0","0.0","57","63","53","  260","  360","23.0","33.1",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-21","5.82",,"0.00","0.0","0.0","55","63","44","  270","  250","14.1","17.0",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-22","5.14",,"0.00","0.0","0.0","56","67","46","  270","  270","17.0","21.0",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-23","5.37"," 1357","0.00","0.0","0.0","59","75","48","  270","  260","15.0","18.1",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-24","7.16"," 1403","0.00","0.0","0.0","61","75","49","  270","  270","18.1","21.0",,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2018-01-25","8.28"," 1552","0.00",,"0.0","57","62","48","  260","  250","21.9","23.9",,,,,,,,,
