,BR,DEP_TIME,FG,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindSpeed,RA,SN,Unnamed: 0,sky
2912,0.0,0.0,1.0,0.0,40.0,42.0,0.0,92.0,0.0,30.37,10.0,41.0,0.0,0.0,0.0,0.0,3.0
10700,0.0,13.0,0.0,29.66,36.0,53.0,0.0,52.0,29.65,29.64,10.0,45.0,18.0,0.0,0.0,762.0,3.0
12643,0.0,14.0,0.0,30.34,22.0,35.0,0.0,59.0,30.34,30.32,10.0,30.0,0.0,0.0,0.0,2723.0,1.0
18206,0.0,13.0,0.0,30.44,25.0,43.0,0.0,49.0,30.44,30.42,10.0,36.0,10.0,0.0,0.0,8810.0,3.0
8409,0.0,0.0,0.0,0.0,29.0,41.0,0.0,62.0,0.0,30.06,10.0,36.0,15.0,0.0,0.0,0.0,1.0
9841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18304,0.0,7.0,0.0,30.49,22.0,36.0,0.0,57.0,30.49,30.47,10.0,31.0,8.0,0.0,0.0,8908.0,3.0
15401,0.0,20.0,0.0,29.79,24.0,43.0,0.0,47.0,29.79,29.77,10.0,36.0,26.0,0.0,0.0,5814.0,3.0
12635,0.0,18.0,0.0,30.26,24.0,34.0,0.0,67.0,30.25,30.24,10.0,30.0,9.0,0.0,0.0,2715.0,1.0
16321,0.0,1.0,0.0,30.13,31.0,35.0,0.0,85.0,30.13,30.11,10.0,33.0,7.0,0.0,0.0,6745.0,1.0
729,0.0,0.0,0.0,0.0,3.0,17.0,0.0,54.0,0.0,30.35,10.0,14.0,13.0,0.0,0.0,0.0,1.0
17723,0.0,15.0,0.0,30.29,22.0,40.0,0.0,49.0,30.29,30.27,10.0,33.0,11.0,0.0,0.0,8327.0,2.0
1640,0.0,0.0,0.0,0.0,-7.0,6.0,0.0,54.0,0.0,30.48,10.0,4.0,16.0,0.0,0.0,0.0,1.0
4496,1.0,0.0,0.0,0.0,34.0,34.0,0.05,100.0,0.0,30.24,2.5,34.0,13.0,1.0,1.0,0.0,3.0
14682,0.0,11.0,0.0,30.13,49.0,50.0,0.0,96.0,30.12,30.11,10.0,49.0,11.0,0.0,0.0,4908.0,3.0
13977,0.0,21.0,0.0,30.27,24.0,34.0,0.0,67.0,30.27,30.24,10.0,30.0,5.0,0.0,0.0,4078.0,3.0
542,0.0,0.0,0.0,0.0,3.0,15.0,0.0,59.0,0.0,30.35,10.0,12.0,16.0,0.0,0.0,0.0,1.0
9711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6451,1.0,0.0,0.0,0.0,41.0,41.0,0.0,100.0,0.0,29.98,0.5,41.0,6.0,0.0,0.0,0.0,5.0
16555,1.0,13.0,0.0,29.37,55.0,55.0,0.07,100.0,29.37,29.35,0.25,55.0,11.0,0.0,0.0,6997.0,6.0
3999,0.0,0.0,0.0,0.0,7.0,17.0,0.0,64.0,0.0,30.64,10.0,15.0,11.0,0.0,0.0,0.0,3.0
2998,0.0,0.0,0.0,0.0,41.0,45.0,0.0,86.0,0.0,30.4,10.0,43.0,5.0,0.0,0.0,0.0,4.0
